ticket_id,created_at,resolved_at,priority,category,agent,team,status,location,satisfaction_score
INC-100901,2025-07-11 01:00:00,2025-07-15 02:39:05.029415748,Low,Email,Chris Miller,Applications,Closed,Berlin,4.5
INC-100773,2025-07-11 04:00:00,2025-07-14 08:03:52.542817441,Medium,Email,Jonas Weber,Infrastructure,Resolved,Hamburg,3.0
INC-100381,2025-07-11 06:00:00,2025-07-12 03:29:25.898699810,Medium,Security Incident,Kevin Zhang,Network,Closed,Remote,4.0
INC-100845,2025-07-11 07:00:00,2025-07-11 09:52:15.909046568,Critical,Hardware,Priya Sharma,Service Desk,Resolved,Berlin,3.5
INC-100846,2025-07-11 07:00:00,,Medium,Onboarding,Emre Kaya,Applications,Pending,Berlin,
INC-100465,2025-07-11 13:00:00,2025-07-11 21:56:35.052466648,High,Network,Alice Brown,Service Desk,Closed,Cologne,3.5
INC-100575,2025-07-11 16:00:00,2025-07-12 18:29:14.397256412,Medium,Software,David Ross,Infrastructure,Resolved,Remote,4.3
INC-101190,2025-07-11 18:00:00,,Medium,Network,Priya Sharma,Service Desk,In Progress,Frankfurt,
INC-100104,2025-07-11 18:00:00,2025-07-13 06:00:44.895867207,High,Access Request,Olivia Reed,Network,Resolved,Frankfurt,3.7
INC-100707,2025-07-11 21:00:00,,Medium,VPN,Chris Miller,Applications,In Progress,Remote,
INC-101175,2025-07-12 01:00:00,2025-07-15 08:14:36.504628274,High,Network,Emre Kaya,Applications,Closed,Hamburg,3.7
INC-100303,2025-07-12 09:00:00,2025-07-13 05:16:48.566393139,Medium,Security Incident,Marco Klein,Service Desk,Closed,Berlin,4.6
INC-101070,2025-07-12 13:00:00,2025-07-14 13:25:19.756222273,Low,Access Request,Tim Bauer,Network,Resolved,Remote,5.0
INC-100801,2025-07-12 21:00:00,2025-07-13 22:16:30.175544937,Low,Software,Nina Falk,Infrastructure,Resolved,Hamburg,5.0
INC-100790,2025-07-12 22:00:00,2025-07-13 17:58:42.785995131,Medium,Software,Priya Sharma,Service Desk,Resolved,Frankfurt,4.2
